review_id,Enterprise,sentiment,review_text;;
8001,Microsoft,Irrelevant,Very good of you to remind us. I thought it was GE but they sold!;;
8001,Microsoft,Irrelevant,Very good of you to remind Anna. I thought it was GE but they sold!;;
8001,Microsoft,Irrelevant,Very good of you to remind those us. I had thought it was GE but they totally sold!;;
8001,Microsoft,Irrelevant,Very good of you to remind us. I thought it said GE but they really!;;
8002,Microsoft,Neutral,Microsoft Surface Studio 2 is a wondrous device for creatives who can afford it mashable.com/review/microso… https://t.co/08MMC1SxmR;;
8002,Microsoft,Neutral,Microsoft Surface Studio 2 is a wonderful device for creatives who can afford mashable.com / review / microso... https: / / t.co / 08MMC1SxmR;;
8002,Microsoft,Neutral,Microsoft Surface Studio 2 is an amazing device for creative people who can afford it.;;
8002,Microsoft,Neutral,Microsoft Creative Studio S is a wondrous device for creatives who can afford it dr.com/review/microso… https://t.co/08MMC1SxmR];;
8002,Microsoft,Neutral,Microsoft Surface Studio 2 is such a wondrous educational device for creatives who can hardly afford calling it mashable. com / system review / microso … https://t.co/08MMC1SxmR ];;
8002,Microsoft,Neutral,Microsoft Surface Studio X is your timely release for creatives who can afford our mashable.com/review/microso... https://t.co/08MMC1SxmR];;
8003,Microsoft,Neutral,Power in the face of a relentless global pandemic:  ;;
8003,Microsoft,Neutral,Power in the face of a relentless global pandemic:;;
8003,Microsoft,Neutral,Power in the Face of Inexorable Global Pandemism:;;
8003,Microsoft,Neutral,Power in the absence of a relentless global pandemic:;;
8003,Microsoft,Neutral,Power in on the face of a relentless worldwide global pandemic :;;
8003,Microsoft,Neutral,Power and the face of a relentless global pandemic:;;
8004,Microsoft,Irrelevant,Sounds like when Sony had the PS5 under a ultra controlled facility and wouldn't let the influencers touch it...;;
8004,Microsoft,Irrelevant,Sounds like when Sony had the PS5 under ultra-controlled control and the influencers wouldn't let them touch it...;;
8004,Microsoft,Irrelevant,It's like when Sony kept the PS5 ultra-controlled and didn't let the manufacturers touch it...;;
8004,Microsoft,Irrelevant,Sounds like when Sony had the PS5 under a ultra controlled facility and they let certain influencers touch it...;;
8004,Microsoft,Irrelevant,Sounds much like hell when Sony had put the Roland PS5 under a ultra controlled facility set and wouldn't let the influencers touch it...;;
8004,Microsoft,Irrelevant,Sounds like when Sony had the PS5 under a ultra controlled facility what wouldn't you other influencers touch on...;;
8005,Microsoft,Neutral,Microsoft Now Conspiring With Pro-Monsanto Front Group “NewsGuard” To Censor All Anti-GMO News worldtruth.tv/microsoft-now-… via @WorldTruthTV;;
8005,Microsoft,Neutral,Microsoft is in talks with the Monsanto-backed NewsGuard group to censor all news against GMOs - truth.tv / microsoft-now-... via @ WorldTruthTV;;
8005,Microsoft,Neutral,Microsoft Now partnered With Trans-Monsanto Front Group “NewsGuard” To Censor All Non-GMO News worldtruth.tv/microsoft-now-… via Instagram;;
8005,Microsoft,Neutral,from Microsoft Now Conspiring With Pro - MS Monsanto Front Group “ Microsoft NewsGuard and ” Alliance To Censor Us All Anti - GM GMO News worldtruth. tv / microsoft - now - fully … accessible via @WorldTruthTV;;
8005,Microsoft,Neutral,Microsoft Now And Leading the-Monsanto Front Group “NewsGuard” To Censor All Anti-GMO Material worldtruth.tv/microsoft-now-... Take Our;;
8006,Microsoft,Negative,from;;
8007,Microsoft,Negative,what;;
8008,Microsoft,Neutral,Microsoft News states that people are going to brace for conflict now after debate because of what Trump said. Are You? I don't think you will. I think they are insighting you to think you should expect conflict. That is a terrible thing to put out !;;
8008,Microsoft,Neutral,Microsoft News states that liberals are going to brace for conflict the after debate because of what Trump said. Are You? We don't think you will. I think they are insighting you to think he<unk> expect conflict. That is a terrible thing to put out!;;
8008,Microsoft,Neutral,Microsoft News states that people are going to really brace themselves for conflict for now right after debate because of what Trump allegedly said. Are You? I don't really think you will. I think maybe they are insighting for you to think how you should expect conflict. That is a terrible new thing to put out!;;
8008,Microsoft,Neutral,Microsoft News states you people are going as brace for conflict now after 2016 because of what Trump said. Did You? Personally don't doubt you will. I think they are insighting you to think you should expect conflict. That is a terrible thing to bring up!;;
8010,Microsoft,Neutral,Microsoft Forecasts a Rise in Hybrid Working across Asia Pacific snip.ly/zbwxkc https://t.co/WsEHMfar4j;;
8010,Microsoft,Neutral,Microsoft predicts an increase in hybrid work in Asia-Pacific snip.ly / zbwxkc https: / / t.co / WsEHMfar4j;;
8010,Microsoft,Neutral,Microsoft Forecasts a Rise in HyperWorking Across Asia Pacific snip.ly / zbwxkc;;
8010,Microsoft,Neutral,Microsoft Forecasts a Rise in Hybrid Working over the Pacific snip.ly/zbwxkc https://t.co/WsEHMfar4j];;
8010,Microsoft,Neutral,Did Microsoft Forecasts a Rise Theory in Hybrid Production Working across Central Asia or Pacific snip. ly / zbwxkc OCLC https://t.co/WsEHMfar4j ];;
8010,Microsoft,Neutral,Microsoft Microsoft High Rise in Hybrid Working For Asia this snip.ly/zbwxkc https://t.co/WsEHMfar4j];;
8011,Microsoft,Neutral,@NHLBruins  ;;
8011,Microsoft,Neutral,@ NHLBruins;;
8011,Microsoft,Neutral,@ NHLBruins;;
8011,Microsoft,Neutral,@NHLBruins;;
8011,Microsoft,Neutral,5 @NHLBruins;;
8011,Microsoft,Neutral,is;;
8012,Microsoft,Positive,Hugely important news this;;
8012,Microsoft,Positive,Extremely important news this year;;
8012,Microsoft,Positive,The very important news of this;;
8012,Microsoft,Positive,Hugely important all this;;
8012,Microsoft,Positive,Hugely for important news this;;
8012,Microsoft,Positive,Hugely important news by;;
8013,Microsoft,Neutral,Just earned my Beyond the Basics with Flipgrid on the Microsoft Educator Center! You can check out free PD courses too..  education.microsoft.com/en-us/course/b… عبر @MicrosoftEDU. . 500;;
8013,Microsoft,Neutral,I just earned my Beyond the Basics with Flipgrid in the Microsoft Educator Center! You can also visit free PD courses.. education.microsoft.com / en-us / course / b...;;
8013,Microsoft,Neutral,You can also check out free DD courses.. education.micross.com / en-us / course / b...;;
8013,Microsoft,Neutral,Just earned my Know the Basics with advice on the Microsoft Educator Center! Teachers can print off free PD courses too..  education.microsoft.com/en-us/course/b… عبر @MicrosoftEDU.. 500;;
8013,Microsoft,Neutral,I Just get earned at my Journey Beyond the Basics with Flipgrid class on the Microsoft Online Educator Profile Center! You can check out free ID PD courses too.. education. microsoft. br com / en - us / ID course / b … عبر @MicrosoftEDU.. 500;;
8013,Microsoft,Neutral,or Post my Learn the Basics with Flipgrid on the Digital Educator Center! You can try out our PD courses via.. education.microsoft.com/en-us/course/b... <unk> @MicrosoftEDU.. in;;
8014,Microsoft,Neutral,(Microsoft wins five-year contract with Coca-Cola to supply cloud technology and enterprise software. brandpowerng.com / microsoft-wins... https: / / t.co / 8wWDJvJYFj;;
8015,Microsoft,Neutral,@Forbes features our Data Quadrant and Emotional Footprint reports in their latest article around which web-conferencing tools are the most popular among customers. .  . bit.ly/3bo5mid;;
8015,Microsoft,Neutral,@ Forbes reports on our recent Data Quadrant and Emotional Footprint reports on which web conferencing tools are most popular with customers... bit.ly / 3bo5mid;;
8015,Microsoft,Neutral,@ Forbes in his latest article reveals which data transfer tools are most popular with customers... bit.ly / 3bo5mid;;
8015,Microsoft,Neutral,@Forbes features Big Data Quadrant and Emotional Footprint Trends in their latest article around which web-conferencing tools remain the most trusted among customers.. . bit.ly/3bo5mid;;
8015,Microsoft,Neutral,@Forbes features support our Character Data Quadrant and their Emotional Footprint reports in their latest in article area around which our web - conferencing tools are the most used popular choice among customers... of bit. ly / 3bo5mid;;
8015,Microsoft,Neutral,recently reported our Data Quadrant Total Emotional Footprint measurement in their latest article around which web-conferencing systems are the most reliable among customers... bit.ly/3bo5mid;;
8016,Microsoft,Irrelevant,100% fake?... No working product?... No use case?.. C'mon people.. Do a bit of research please... Be smart like Google.;;
8017,Microsoft,Irrelevant,Fraudsters use fake  . Catch all  .  ;;
8017,Microsoft,Irrelevant,Scammers use fake ones. Catch all.;;
8017,Microsoft,Irrelevant,Fraudsters use counterfeits. Catch everyone.;;
8017,Microsoft,Irrelevant,Fraudsters use targeting . Catch all .;;
8017,Microsoft,Irrelevant,Fraudsters use fake. Like Catch all.;;
8017,Microsoft,Irrelevant,Fraudsters use you. Catch all.;;
8018,Microsoft,Negative, ;;
8018,Microsoft,Negative,It is not the first time that the EU Commission has taken such a step.;;
8018,Microsoft,Negative,;;
8018,Microsoft,Negative,;;
8018,Microsoft,Negative,;;
8019,Microsoft,Neutral,We are extremely proud to announce that we have achieved @Microsoft Gold Data Analytics and Cloud Platform competencies. Read more in the press release: bit.ly/2RN7TdC;;
8019,Microsoft,Neutral,We are very proud to announce that we have achieved @ Microsoft Gold Data Analytics and Cloud Platform competencies. Read more in the press release: bit.ly / 2RN7TdC;;
8019,Microsoft,Neutral,We are extremely proud to announce recently we have achieved @Microsoft Gold Data Analytics and Cloud Computing competencies. Read more inside the press release: bit.ly/2RN7TdC;;
8019,Microsoft,Neutral,We are extremely proud first to announce that we have achieved @Microsoft Gold Data Analytics Integration and Cloud Business Platform competencies. 1 Read out more in the press press release : Amazon bit. ly / Amazon 2RN7TdC;;
8019,Microsoft,Neutral,team are extremely happy to announce that us have obtained @Microsoft Gold Data Analytics and Cloud Platform accreditation. Read more in the press release: bit.ly/2RN7TdC;;
