review_id,Enterprise,sentiment,review_text;;
4401,Google,Neutral,Today's @Google's Greatest Hits: fire hydrant and hydrant over time.. . Spoiler: fire hydrant is about half the hydrant total.. . Question: what type(s) of hydrant(s) make up the other half?. . books.google.com/ngrams/graph?c…;;
4401,Google,Neutral,Today's @ Google Greatest Hits: Fire hydrant and hydrant over time... Spoiler: Fire hydrant is about half of the hydrant total... Question: What kind of hydrant (s) make up the other half?. books.google.com / ngrams / graph? c...;;
4401,Google,Neutral,Today's @Google's Greatest Hits: fire garden loses hydrant over time... Spoiler: fire hydrant is worse half than hydrant!!. Question: what type(s) of hydrant(s) make up the other two?.. books.google.com/ngrams/graph?c…;;
4401,Google,Neutral,2008 Today's @Google's s Greatest Motor Hits : fire secondary hydrant and secondary hydrant changes over time... Spoiler : fire secondary hydrant is about half the hydrant color total... Question : what type ( s ) out of primary hydrant ( s ) make up the other half?.. books. google. com / ngrams / graph? c …;;
4401,Google,Neutral,<unk>'s @Google's Greatest Hits: fire hydrant is hydrant over of... Review: fire hydrant is about half power hydrant total... Comment: which type(s) does hydrant(s) make up than other half?.. www.google.com/ngrams/graph?c...;;
4402,Google,Irrelevant, ;;
4402,Google,Irrelevant,It is not the first time that the EU Commission has taken such a step.;;
4402,Google,Irrelevant,;;
4402,Google,Irrelevant,;;
4402,Google,Irrelevant,;;
4403,Google,Negative,Really starting to like  ;;
4403,Google,Negative,Really starting to like;;
4403,Google,Negative,Realistically start liking it;;
4403,Google,Negative,Really enough to like;;
4403,Google,Negative,7 Really starting to like;;
4403,Google,Negative,Really hard to like;;
4404,Google,Neutral,I did this earlier to check but did you just stick a google search over another google search in the photo like people aren’t going to see two batteries and shit? 🥴🥴🤣🤣🤣🤣;;
4404,Google,Neutral,I did this earlier to check but did you just perform a google search over your google image in this photo like people aren’t going to see two batteries and shit? :);;
4404,Google,Neutral,I did this just earlier to check but did you ever just stick a google search ever over then another google search in the photo like other people aren ’ t going on to see her two batteries and shit? [UNK];;
4404,Google,Neutral,I did this earlier to check but did you just stick a google search over another google search onto either photo like people just going to see two batteries flash back? <unk>;;
4405,Google,Neutral,I agree. The two site they addressed and seem to have caused this change are Google and Facebook.;;
4405,Google,Neutral,The two sites you mention that seem to have caused this change are Google and Facebook.;;
4405,Google,Neutral,I agree. The two sites they have visited that seem to have caused these changes are Google and Facebook.;;
4405,Google,Neutral,I agree. The two site developers addressed and seem to believe caused this change are Google and Facebook.;;
4405,Google,Neutral,I completely agree. The two site they addressed and seem to have caused to this change are called Google Change and Facebook.;;
4405,Google,Neutral,I agree. Two major site they addressed and seem to have caused no change are Google and Facebook.;;
4406,Google,Neutral,Google warned 51–100 users in India that their account was being targeted by state-sponsored attackers medianama.com/2020/05/223-go…  ;;
4406,Google,Neutral,Google warned 51-100 users in India that their accounts were being targeted by state-sponsored attackers.;;
4406,Google,Neutral,Google has warned 51-100 users in India that their accounts have been targeted by state-sponsored hackers medianama.com / 2020 / 05 / 223-go...;;
4406,Google,Neutral,Google warned US users in January that Gmail account was being targeted by state-sponsored attackers medianama.com/2020/05/223-go…;;
4406,Google,Neutral,After Google warned 51 – through 100 Facebook users in India 2008 that their Yahoo account was being targeted by Islamic state - sponsored attackers medianama. com / 2020 / 05 / 223 - go …;;
4406,Google,Neutral,Google warned 51–100 users by India that the account was being frozen by Chinese-sponsored censorship medianama.com/2020/05/223-go...;;
4407,Google,Negative,I’ve been looking online using the @Google search engine for videos of the Republican convention. Google not very helpful. Turned to @DuckDuckGo and got immediate helpful links. Almost like @Google doesn’t want you to find these videos...;;
4407,Google,Negative,I searched online with the @ Google search engine for videos from the Republican convention. Google was not very helpful. I turned to @ DuckDuckGo and immediately got helpful links. Almost like @ Google does not want you to find these videos...;;
4407,Google,Negative,I searched for videos of the Republican convention on the @ Google search engine. Google didn't help much. I reached out to @ DuckDuckGo and got immediate helpful links. Almost like @ Google doesn't want you to find these videos...;;
4407,Google,Negative,I’ve been looking online using the @Google movie engine for videos of the Republican convention. Google not very helpful. Sent to @DuckDuckGo which got immediate helpful links. Almost like @Google doesn’t want us to find these —;;
4407,Google,Negative,I ’ ve also been looking around online using the @Google search engine again for these videos of the Republican convention. Google not very helpful. Turned to @DuckDuckGo and got immediate helpful through links. org Almost like @Google doesn ’ t truly want all you there to personally find these videos...;;
4407,Google,Negative,I’ve keep going online using the @Google search engine for videotape of the Republican convention. Google not very helpful. Turned over @DuckDuckGo and got immediate helpful links. Not like @Google doesn’t want us to try specific videos...;;
4408,Google,Negative,Dear @ Google during Black Lives Matter protests you changed your avatar to support the movement.;;
4410,Google,Negative,@CarryMinati's channel was hacked and he got it back in less than a day with monatization cuz they have @YouTubeIndia n its been 14 days since @KhujLeeFamily is asking for google help n nthin yet.  .  ;;
4410,Google,Negative,@ CarryMinati's channel was hacked and he get it back in less than a day with fun cuz they have @ YouTubeIndia n its been 14 days since @ KhujLeeFamily is asking for google help n nthin yet.;;
4410,Google,Negative,@CarryMinati's channel was hacked and he gained it back in less than two day with monatization cuz they have @YouTubeIndia n its been 14 days since @KhujLeeFamily is asking for google help again nthin yet. <unk>;;
4410,Google,Negative,@CarryMinati's main channel pad was hacked and he got it back straight in from less than twice a day with some monatization cuz they probably have @YouTubeIndia n now its barely been 14 days since @KhujLeeFamily m is asking for google help n nthin yet..;;
4410,Google,Negative,@CarryMinati's channel went hacked and he got it back in short of a day with monatization cuz they have @YouTubeIndia n got been 14 days in anybody was asking for google anything n nthin related..;;
4411,Google,Neutral,How do I make a girl keysmash?. Shit this isn't google;;
4411,Google,Neutral,How do I make a girl keysmash?. Shit this isn't google;;
4411,Google,Neutral,How do I make a google keysmash?. Shit this isn't google;;
4411,Google,Neutral,How don't I make a girl keysmash?. Shit because this isn'didn t google;;
4411,Google,Neutral,How do to become a girl keysmash?. Shit this isn't google;;
4412,Google,Negative,thanks google you fucking idiot pic.twitter.com/YsfU99X2cu;;
4412,Google,Negative,Thanks google you damn idiot pic.twitter.com / YsfU99X2cu;;
4412,Google,Negative,Thanks google you fucking idiot pic.webs.com / YsfU99X2cu;;
4412,Google,Negative,thanks google you fucking idiot pic.twitter.com/YsfU99X2cu;;
4412,Google,Negative,to thanks google you fucking idiot pic.twitter.com/YsfU99X2cu;;
4412,Google,Negative,in;;
4414,Google,Negative,Scoped storage on Android 11 is ruining the Google Photos experience buff.ly/2SXLNpp by @PointJules;;
4414,Google,Negative,Scoped storage on Android 11 ruins the experience with Google Photos buff.ly / 2SXLNpp by @ PointJules;;
4414,Google,Negative,Screenshots on Android 11 spoil Google Photos buff.ly / 2SXLNpp service from @ Pointflies;;
4414,Google,Negative,Scoped storage on Android 11 is ruining the Google Photos experience short.ly/2SXLNpp — @PointJules;;
4414,Google,Negative,Scoped image storage on Android and 11 is probably ruining the Google Photos experience for buff. ly / or 2SXLNpp by David @PointJules;;
4414,Google,Negative,Scoped storage by Android 32 after ruining the Google Photos 3 buff.ly/2SXLNpp by @PointJules;;
4415,Google,Negative,I've deleted Google Chrome from all of my computers. It's become such a resource hog. It's rediculous. . ‍. ;;
4415,Google,Negative,I've deleted Google Chrome from all of my computers.<unk> become almost a resource hog. It's rediculous.. ‍.;;
4415,Google,Negative,I've deleted Google Security Chrome files from over all of my new computers. It'S s become such a resource hog. It'l s rediculous...;;
4415,Google,Negative,I've deleted Google Scholar from all the my servers. It's been such a resource hog. It's rediculous...;;
4417,Google,Negative,you guys really crashed google lmao;;
4417,Google,Negative,you really crashed google lmao;;
4417,Google,Negative,you guys really crashed google lmao;;
4417,Google,Negative,you guys really built google lmao;;
4417,Google,Negative,Are you guys really crashed google off lmao;;
4417,Google,Negative,you guys have crashed google lmao;;
4418,Google,Positive,Need some weird ciphers in Swift on macOS? . I just found PythonKit and it looks great and is even recommended by Google .  . . github.com/pvieito/Python… https://t.co/vs222DLDao;;
4418,Google,Positive,I just found PythonKit and it looks great and is even recommended by Google... github.com / pvieito / Python... https: / / t.co / vs222DLDao;;
4418,Google,Positive,Need some weird ciphers in Swift on macOS?. I just found PythonKit and it looks great and is even recommended by Google... github.com / pvieto / Python... https: / / co / vs222DLDao;;
4418,Google,Positive,Need some weird syntax in Swift on macOS? Personally I just found PythonKit and it looks great & its even recommended by Google. .. github.com/pvieito/Python… https://t.co/vs222DLDao];;
4418,Google,Positive,Need some weird ciphers in my Swift file on the macOS?. s I just already found PythonKit and it looks pretty great and still is even recommended here by Google... github. com / pvieito / about Python …... https://t.co/vs222DLDao ];;
4418,Google,Positive,do some simple ciphers in Swift show me?. I just found up and it looks ugly and not even given by Google... github.com/pvieito/Python... https://t.co/vs222DLDao];;
4419,Google,Positive,Y’all ain’t help me with the bokchoy inquiry. I ain’t forget. .   I’m gonna google/you tube & cook it. If it’s nasty ..I’m cussing y’all out. in CAPS!;;
4419,Google,Positive,Y'all ain't help me with the bokchoy request. I ain't forget.. I'm gonna google / you tube & cook it. If it's nasty.. I'm kissing y'all out.;;
4419,Google,Positive,Y'all ain't help me with the bokchoy inquiry. I ain't forget.. I'm gonna google / you tube & cook it. If it's native.. I'm cussing y'all out. in CAPS!;;
4419,Google,Positive,Y’all ain’t help me on the hate inquiry. I ain’t forget. Sorry   I’m playing google/you tube & follow up. If it’s nasty..I’m cussing y’all out. in CAPS!;;
4419,Google,Positive,Y ’ they all ain ’ t help me with the bokchoy inquiry. and I really ain ’ t forget.. I ’ g m gonna google / if you tube & cook it. or If it ’ s too nasty.. I ’ il m cussing y up ’ it all out. in CAPS!;;
4419,Google,Positive,it ain’t help me with the bokchoy inquiry.<unk> did forget.. I’m doing google/you tube a go with. If it’s a..I’m cussing y’all for. in CAPS!;;
4421,Google,Negative,......and I NEVER find shit!!;;
4421,Google,Negative,...... and I NEVER find shit!!;;
4421,Google,Negative,...... and I NEVER find shit!!;;
4421,Google,Negative,......and I NEVER take shit!!;;
4421,Google,Negative,......... and before I NEVER find some shit!!;;
4421,Google,Negative,......and I came find another;;
4423,Google,Negative,What The Fuck!!!!;;
4423,Google,Negative,What the hell!!!!;;
4423,Google,Negative,What The Fuck!!!!;;
4423,Google,Negative,What The Matter;;
4423,Google,Negative,The What The Fuck!!!!;;
4423,Google,Negative,At The Fuck!!!!;;
4425,Google,Positive,I live for this shit 🤗🤩;;
4425,Google,Positive,I live for this shit.;;
4425,Google,Positive,I live for this shit.;;
4425,Google,Positive,I die for this shit 🤗🤩;;
4425,Google,Positive,And I live for this shit [UNK];;
4425,Google,Positive,I live for less shit <unk>;;
4426,Google,Positive,Damnn google maps are accurate pic.twitter.com/7TxbXmmMbJ;;
4426,Google,Positive,Damn Google Maps are accurate pic.twitter.com / 7TxbXmmMbJ;;
4426,Google,Positive,Damnn google maps are accurate pic.twitter.com/7TxbXmmMbJ;;
4426,Google,Positive,com Damnn google maps are accurate pic.twitter.com/7TxbXmmMbJ;;
4426,Google,Positive,you;;
4429,Google,Neutral,Buy Remove Negative Reviews From Google - Get Bad Reviews Removed mangocityit.com/service/buy-re…;;
4429,Google,Neutral,Buy Remove Negative Reviews from Google - Remove Bad Reviews mangocityit.com / service / buy-re...;;
4429,Google,Neutral,Buy Remove Reviews from Google - Get Bad Reviews Removed mangocityit.com / service / buy-re...;;
4429,Google,Neutral,Buy Remove 0 Reviews From Google Reader Get Bad Reviews Removed mangocityit.com/service/buy-re…;;
4429,Google,Neutral,To Buy Remove How Negative Music Reviews From Google Google - Get Bad Reviews Removed At mangocityit. com / service / buy - re …;;
4429,Google,Neutral,Buy Remove Bad Comments on Google - Get Bad Reviews under mangocityit.com/service/buy-re...;;
4430,Google,Negative,Why does Google criminalize asian people by gendering criminals;;
4430,Google,Negative,Why is Google criminalising Asian people through sex crime?;;
4430,Google,Negative,Why Google Criminalizes People by Segregating Criminals by Sex;;
4430,Google,Negative,Why will Google criminalize asian people by gendering criminals;;
4430,Google,Negative,Why else does Google criminalize asian people by not gendering criminals;;
4430,Google,Negative,Why does Google criminalize asian women by gendering criminals;;
4431,Google,Neutral,The lovely Anna from astashkinacakes just posted an amazing youtube video of this gorgeous sail. Just posted it on my Facebook if you want the link or just google her. Hate Instagram for not be able to link pages(oh… instagram.com/p/CCgSunBAvdm/…;;
4431,Google,Neutral,Pretty Anna from astashkinacakes just posted a fantastic Youtube video of this beautiful sail. Just post it on my Facebook page if you want the link or just want to google. Hate Instagram for not being able to link pages (oh... instagram.com / p / CCgSunBAvdm /...;;
4431,Google,Neutral,Lovely Anna from astashkinacakes just posted an amazing video on YouTube of this gorgeous fat. Just put it on my Facebook if you want a link or just to pat it on the back. Hate Instagram for not being able to link the pages (oh... instagram.com / p / CCgSunBAvdm /...;;
4431,Google,Neutral,The lovely Amy from astashkinacakes just posted an amazing youtube video of this gorgeous sail. Just posted it on my Facebook if you want the link or just google it. Hate Facebook users not being able to follow pages(oh… instagram.com/p/CCgSunBAvdm/…;;
4431,Google,Neutral,The lovely Anna from astashkinacakes I just posted an amazing youtube on video review of this gorgeous sail. Just just posted it on my personal Facebook if you want the link or else just google her. Hate Instagram for not be able even to link pages ( oh … dear instagram. com / a p / aka CCgSunBAvdm / …;;
4431,Google,Neutral,The lovely Anna for Norway just posted an official youtube video featuring this gorgeous sail. Just posted it on my Facebook if you want the link or you google her. Hate Instagram was posting ever posting to link pages(oh... watch.com/p/CCgSunBAvdm/...;;
4432,Google,Negative, ;;
4432,Google,Negative,It is not the first time that the EU Commission has taken such a step.;;
4432,Google,Negative,;;
4432,Google,Negative,;;
4432,Google,Negative,;;
4433,Google,Neutral,Now the President is slapping Americans in the face that he really did commit an unlawful act after his  acquittal! From Discover on Google vanityfair.com/news/2020/02/t…;;
4433,Google,Neutral,Now the President is slapping Americans in the face for actually committing an illegal act after his acquittal! From Discover on Google vanityfair.com / news / 2020 / 02 / t...;;
4433,Google,Neutral,Now the president is slapping Americans in the face for what he really did wrong after his acclimatization!;;
4433,Google,Neutral,Now the President is slapping Americans across the face that he really would commit an insane act after his <unk>! From Discover on Google vanityfair.com/news/2020/02/t…;;
4433,Google,Neutral,Now the corrupt President is slapping Americans guys in the very face over that he really did commit an absolutely unlawful act right after his acquittal! From Discover on average Google vanityfair. com / and news / 2020 / 02 / t …;;
4433,Google,Neutral,Now the judge was slapping Americans in the face that he really did do the extraordinary act on his acquittal! From Discover on Google vanityfair.com/news/2020/02/t...;;
4434,Google,Negative,ahh copy pasting from the google doc fucks up the formatting;;
4434,Google,Negative,ahh copy pasting from the google doc fucks up the formatting;;
4434,Google,Negative,ahh copy pasting from the google doc fucks up the formatting;;
4434,Google,Negative,ahh copy pasting from the google search fucks up the formatting;;
4434,Google,Negative,ahh... copy pasting from the text google doc fucks straight up the formatting;;
4434,Google,Negative,ahh copy pasting out the google doc screwed up the formatting;;
4435,Google,Neutral, ;;
4435,Google,Neutral,It is not the first time that the EU Commission has taken such a step.;;
4435,Google,Neutral,;;
4435,Google,Neutral,;;
4435,Google,Neutral,;;
4436,Google,Negative,can company's stop making me cry;;
4436,Google,Negative,Can the company stop making me cry?;;
4436,Google,Negative,can company's stop making me cry;;
4436,Google,Negative,can company's stop making Mexicans cry;;
4436,Google,Negative,can company's bitch stop making me cry;;
4436,Google,Negative,they company's stop making me cry;;
4437,Google,Positive,is;;
4438,Google,Neutral,The latest b_gardiner's Random Musings! paper.li/b_gardiner/131… Thanks to @bjoerndarko @FMScreative  ;;
4438,Google,Neutral,The latest b _ gardiner's Random Musings! paper.li / b _ gardiner / 131... Thanks to @ bjoerndarko @ FMScreative;;
4438,Google,Neutral,The latest b _ gardener's Random Musings! paper.li / b _ gardener / 131... Thanks to @ bjoerndarko @ FMCreative;;
4438,Google,Neutral,The latest bob_gardiner's Random Musings! paper.li/b_gardiner/131… Thanks to Mike!!;;
4438,Google,Neutral,The 150 latest b _ gardiner'and s Complete Random Book Musings! paper. li / 1 b _ gardiner / 131 …... Thanks to @bjoerndarko to @FMScreative;;
4438,Google,Neutral,you great b_gardiner's Random Musings! from.li/b_gardiner/131... published at @bjoerndarko at;;
